,Country_Region,Date,ConfirmedCases,Fatalities,Lat,Long
0,Afghanistan,5/7/2020,2039,445,33,65
81,Albania,5/7/2020,953,123,41.1533,20.1683
162,Algeria,5/7/2020,1012,166,28.0339,1.6596
243,Andorra,5/7/2020,2032,484,42.5063,1.5218
324,Angola,5/7/2020,7,2,-8.830833,13.245
405,Antigua and Barbuda,5/7/2020,1379,0,17.0608,-61.7964
486,Argentina,5/7/2020,1993,536,-38.4161,-63.6167
567,Armenia,5/7/2020,2042,518,40.0691,45.0382
648,Austria,5/7/2020,11198,542,47.5162,14.5501
729,Azerbaijan,5/7/2020,2035,505,40.1431,47.5769
810,Bahamas,5/7/2020,1168,0,25.066667,-77.333333
891,Bahrain,5/7/2020,2030,197,26.0275,50.55
972,Bangladesh,5/7/2020,631,7,23.685,90.3563
1053,Barbados,5/7/2020,253,0,13.1939,-59.5432
1134,Belarus,5/7/2020,255,1,53.7098,27.9534
1215,Belgium,5/7/2020,14052,740,50.8333,4
1296,Belize,5/7/2020,947,0,17.498611,-88.188611
1377,Benin,5/7/2020,1337,0,9.3077,2.3158
1458,Bhutan,5/7/2020,1424,0,27.5142,90.4336
1539,Bolivia,5/7/2020,783,63,-16.2902,-63.5887
1620,Bosnia and Herzegovina,5/7/2020,2041,499,43.9159,17.6791
1701,Botswana,5/7/2020,238,1,-24.658056,25.912222
1782,Brazil,5/7/2020,6288,541,-14.235,-51.9253
1863,Brunei,5/7/2020,193,1,4.5353,114.7277
1944,Bulgaria,5/7/2020,2039,261,42.7339,25.4858
2025,Burkina Faso,5/7/2020,1001,164,12.2383,-1.5616
2106,Burma,5/7/2020,1314,1,16.85,96.183333
2187,Burundi,5/7/2020,1292,0,-3.383333,29.366667
2268,Cabo Verde,5/7/2020,270,1,14.916667,-23.516667
2349,Cambodia,5/7/2020,220,0,11.55,104.9167
2430,Cameroon,5/7/2020,2043,456,3.848,11.5021
2441,Canada,5/7/2020,51423,1401,56.1142,-106.344
2511,Central African Republic,5/7/2020,1437,0,6.6111,20.9394
2592,Chad,5/7/2020,1278,0,12.134722,15.055833
2673,Chile,5/7/2020,3011,537,-35.6751,-71.543
2713,China,5/7/2020,86623,5114,35.9152,104.2124
2754,Colombia,5/7/2020,2031,533,4.5709,-74.2973
2835,Congo (Brazzaville),5/7/2020,1240,0,-4.0383,21.7587
2916,Congo (Kinshasa),5/7/2020,831,80,-4.0383,21.7587
2997,Costa Rica,5/7/2020,2041,331,9.7489,-83.7534
3078,Croatia,5/7/2020,2040,513,45.1,15.2
3159,Cuba,5/7/2020,2044,508,22,-80
3240,Cyprus,5/7/2020,2040,137,35.1264,33.4299
3321,Czechia,5/7/2020,3638,541,49.8175,15.473
3402,Denmark,5/7/2020,3146,539,61.8926,-6.9118
3483,Denmark,5/7/2020,3146,539,64.181389,-51.694167
3564,Denmark,5/7/2020,3146,539,56.2639,9.5018
3645,Diamond Princess,5/7/2020,1558,30,35.4437,139.638
3726,Djibouti,5/7/2020,1304,0,11.8251,42.5903
3807,Dominica,5/7/2020,460,0,15.3,-61.383333
